"Lagercode";"Hersteller";"Bezeichnung";"VK Brutto";"VK Netto";"Gewicht";"Einheit";"EK Netto";"Lagerbestand";"Besitzer";
"00001";;"Überspielung auf andere Medien";"10";"8,4034";"0";"Std";"0";"0";;
"00002";;"DVD Vervielfältigung DL";"5";"4,2017";"0";;"0";"0";;
"00003";;"DVD Verfielfältigung";"3";"2,521";"0";;"0";"0";;
"10001";;"Noppenbahn für Schalldämmung";"7,5";"6,3025";"0";"m²";"0";"5";;
"00101";"Soundcraft";"Spirit Live 16/4";"41,65";"35";"0";"Tag(e)";"0";"1";;
"00102";"Showtec";"D-Pack 6x10A";"17,85";"15";"0";"Stck";"0";"0";;
"00103";"Ultralite";"Par64 Bar";"35,7";"30";"0";"Tag(e)";"0";"2";;
"00104";"Antari";"F80Z";"11,9";"10";"4,9";"Stck";"0";"0";;
"00105";"Showtec";"Lightdesk Pro 136";"17,85";"15";"0";"Stck";"0";"0";;
"00106";"Stairville";"Strobe 200 DMX";"17,85";"15";"2,24";"Stck";"0";"0";;
"00107";"DMPW";"BNC";"11,9";"10";"0";"Tag(e)";"0";"2";;
"00108";"Kramer";"SV-10A";"35";"29,4118";"0";"Tag(e)";"0";"1";;
"00109";"Ultralite";"Quadro";"11,9";"10";"0";"Stck";"0";"2";;
"00110";"Ultralite";"Quadro";"10,115";"8,5";"0";"Stck";"0";"0";;
"00111";"Sony";"PVM-8040 ME";"15";"12,605";"0";"Tag(e)";"0";"1";;
"00116";"Panasonic";"WV-5200BU/G";"30";"25,2101";"0";"Tag(e)";"0";"3";;
"00112";"PowerWare";"500VA";"17,85";"15";"0";"Tag(e)";"0";"1";;
"00113";"DMPW";"Harting Plug Box";"4,165";"3,5";"0";"Tag(e)";"0";"3";;
"00114";"Astralite";"3-Punkt";"8,925";"7,5";"0";"Tag(e)";"0";"2";;
"00115";"Sony";"SEG-2000AP";"90";"75,6303";"0";"Tag(e)";"0";"1";;
"00117";"Philips";"LDK 4210";"15";"12,605";"0";"Tag(e)";"0";"1";;
"00118";"Tektronix";"528A";"15";"12,605";"0";"Tag(e)";"0";"2";;
"00119";"Montarbo";"Power Mixer 749";"17,85";"15";"0";"Tag(e)";"0";"0";;
"00120";"Ikegami";"Camera Setup Switcher";"25";"21,0084";"0";;"0";"2";;
"00121";"Ikegami";"TM14-17RP";"25";"21,0084";"0";;"0";"1";;
"00123";"Blaupunkt";"DVM-2000";"55";"46,2185";"2,8";"Tag(e)";"0";"0";;
"10002";;"19"" Zoll Rack, 10HE, 65cm Einbautiefe";"89,25";"75";"0";"Stck";"0";"2";;
"00125";;"Verbrauchsmaterial";"15";"12,605";"0";"Stck";"0";"0";;
"00126";;"Lichtstativ";"11,9";"10";"0";"Tag(e)";"0";"0";;
"00127";"DMPW";"Siderack";"41,65";"35";"0";;"0";"0";;
"00128";;"Truhencase 40x60x43";"0";"0";"0";"Tag(e)";"0";"1";;
"00129";"Siemens";"Messerleisten Multicore 25m";"29,75";"25";"0";"Tag(e)";"0";"1";;
"00186";;"Kameramann";"297,5";"250";"0";"Tag(e)";"0";"0";;
"00131";"IMG Stage Line";"16/4 Multicore 25m";"35,7";"30";"0";"Tag(e)";"0";"1";;
"00132";;"Tontechniker";"238";"200";"0";"Tag(e)";"0";"0";;
"00133";;"Auf- und Abbauhelfer";"142,8";"120";"0";"Tag(e)";"0";"0";;
"00134";;"Lichttechniker";"238";"200";"0";"Tag(e)";"0";"0";;
"00006";;"Postproduktion von Fremdmaterial";"29,75";"25";"0";"Std";"0";"0";;
"00007";;"Rendering- Zeit";"11,9";"10";"0";"Std";"0";"0";;
"00137";;"Schukoverteiler 5-fach";"2,38";"2";"0";"Stck";"0";"0";;
"00138";;"LaKa Auflösung";"4,165";"3,5";"0";"Stck";"0";"0";;
"00139";"C.Aemon";"Mikrofonstative";"4,76";"4";"0";"Tag(e)";"0";"4";;
"00143";"beyerdynamic";"MCE 86N(C)S";"11,9";"10";"0";;"0";"2";;
"00144";;"Schuko Unterverteilung mit FI - 3x Schuko";"11,9";"10";"0";;"0";"0";;
"00145";"Sony";"DXC-M3AP";"29,75";"25";"0";;"0";"1";;
"00146";"Delta System";"Intercom Sprechsystem";"17,85";"15";"0";;"0";"0";;
"00147";;"Truhencase 60x80x43";"0";"0";"0";;"0";"1";;
"00148";;"Truhencase 60x60x43";"0";"0";"0";;"0";"1";;
"00149";;"4HE Case - Ultratief (83cm)";"0";"0";"0";;"0";"3";;
"00150";;"10HE Case - Ultratief (83cm)";"0";"0";"0";;"0";"3";;
"00151";"DMPW";"BNC";"0";"0";"0";;"0";"9";;
"00152";;"Postproduktion von Fremdmaterial";"29,75";"25";"0";"Std";"0";"0";;
"00153";"Sony";"RM-E300";"29,75";"25";"0";;"0";"1";;
"00008";;"Inhaltliche Bearbeitung";"11,9";"10";"0";;"0";"0";;
"00152";"Sony";"PVM - 2730 QM";"23,8";"20";"52";;"0";"5";;
"15747";"Kingston";"DDRAM 1024MB PC400 Kingston CL3";"35,000042";"29,4118";"0";"Stck";"0";"0";;
"00157";"DMPW";"SchuKo Verlängerung - 10m (Rot)";"2,38";"2";"0";;"0";"4";;
"00158";"DMPW";"3x16 A - 4m (Grün)";"4,76";"4";"0";;"0";"1";;
"00159";"DMPW";"Schuko Verlängerung 1,5m";"1,19";"1";"0";;"0";"1";;
"00160";"DMPW";"Mehrfachleiste 6-fach Schuko";"2,38";"2";"0";;"0";"3";;
"00161";"DMPW";"Schuko-Verlängerung 5m";"1,19";"1";"0";;"0";"2";;
"00162";"DMPW";"3x16 A auf Schuko";"2,38";"2";"0";;"0";"2";;
"00163";"DMPW";"Adapter Schuko auf 1x16A CEE";"2,38";"2";"0";;"0";"1";;
"00164";"DMPW";"Schuko 6-Fachleiste auf 3x16A CEE";"2,38";"2";"0";;"0";"1";;
"00165";"DMPW";"Mehrfachleiste Schuko 3-fach";"0,595";"0,5";"0";;"0";"1";;
"00166";"DMPW";"Hartingmulticore";"11,9";"10";"0";;"0";"3";;
"00167";"DMPW";"Hartingmulticore";"8,925";"7,5";"0";;"0";"1";;
"00168";"Eurolite";"N-19";"11,9";"10";"0";"Stck";"0";"1";;
"00169";"Showtec";"Hexacon";"11,9";"10";"0";"Stck";"0";"1";;
"00170";"Litecraft";"Giant Strobe";"41,65";"35";"0";"Stck";"0";"1";;
"00171";"Strand Lighting";"minim F";"5,95";"5";"0";"Stck";"0";"4";;
"00172";"Prolyte";"4-Punkt";"17,85";"15";"0";"Stck";"0";"2";;
"00173";"K&M";"Boxenstativ";"8,925";"7,5";"0";;"0";"2";;
"912892";"Kyocera";"FS-1010";"44,999969";"37,8151";"0";"Stck";"0";"1";;
"00175";"Sennheiser";"HD-25";"11,9";"10";"0,14";;"0";"1";;
"00176";"Sony";"DSR-200";"83,3";"70";"0";"Stck";"0";"0";;
"56838";"easyNova";"USB2.0/eSata 3,5"" Sata - Externes SATA Gehäuse";"35,000042";"29,4118";"0";;"0";"0";;
"38300";"Estern Digital";"500GB SATA2 7200 16mb";"44,999969";"37,8151";"0";;"0";"0";;
"00179";"t.bone";"SSM 6";"5,000023";"4,2017";"0";;"0";"1";;
"00180";"DMPW";"Tonangelset";"23,8";"20";"0";;"0";"1";;
"00181";"t.bone";"SSM 6";"5,95";"5";"0";;"0";"0";;
"00127";"K&M";"Tonangel 23770";"17,85";"15";"0";;"0";"0";;
"00183";"DMPW";"BNC";"0";"0";"0";;"0";"6";;
"00184";;"AV Techniker";"297,5";"250";"0";;"0";"0";;
"00185";;"Kamerassistent";"0";"0";"0";;"0";"0";;
"00187";;"Bildmischer";"297,5";"250";"0";;"0";"0";;
"00136";;"PowerPoint Operator";"0";"0";"0";;"0";"0";;
"00188";"Vistek";"Variocomb PAL Decoder";"0";"0";"0";;"0";"0";;
"00189";;"AV Assistent";"238";"200";"0";;"0";"0";;
"00190";"DMPW";"Kabelmatten";"11,9";"10";"0";;"0";"4";;
"00191";"DMPW";"XLR Kabel";"0";"0";"0";;"0";"0";;
"00192";"DMPW";"BNC 10m";"5,95";"5";"0";;"0";"0";;
"00193";"Sony";"Minidisk Deck MDS-JE330";"17,85";"15";"0";;"0";"1";;
"00194";"Monacor";"TDD-2000";"11,9";"10";"0";;"0";"1";;
"00195";"Panasonic";"NV-HS900";"17,85";"15";"0";;"0";"1";;
"00196";"DMPW";"32A UV";"17,85";"15";"0";;"0";"1";;
"00001";;"Kameramann";"50";"42,0168";"0";;"0";"0";;
"00005";;"Service (Provision)";"0";"0";"0";;"0";"0";;
"00122";;"Transporter Tagespauschale";"77,35";"65";"0";"km";"0";"0";;
"00140";;"Transporter-  KM Pauschale";"1,19";"1";"0";"km";"0";"0";;
"00141";;"Transporter KM-Pauschale";"1,19";"1";"0";;"0";"0";;
"00142";;"PKW KM-Pauschale";"0,595";"0,5";"0";;"0";"0";;
